	birthdate	race	residence	sex	blood_group	job	name	address	ssn
36	12/06/1970, 00:00:00	Black	"75120 Thompson Crescent Suite 653
Davidport, KY 65195"	M	AB+	Embryologist, clinical	Charles Mendez	"924 Elliott Neck
Andersonburgh, MO 07583"	309-15-4757
37	2016/03/22	White	"02245 Lisa Lakes Apt. 300
Tammiemouth, MO 89458"	F	B-	Company secretary	Jessica Ray	"225 Donna Track Suite 425
Chavezstad, ND 22035"	102-02-9695
38	24 Feb 1985	White	"1571 Stewart Circles Apt. 232
East Williamburgh, IN 40125"	F	B+	Technical author	Nancy Bennett	"902 Harry Drive
Wilsonhaven, IN 88171"	404-20-7972
39	1960/01/23	White	"USS Perez
FPO AP 70740"	M	B+	Public relations account executive	Joshua Crosby	"47349 Brown Pike
Lake Katelynhaven, MT 33368"	557-55-4672
40	1933/10/24	Asian	"884 Hill Circle Suite 323
Marychester, ME 92643"	F	AB-	Surveyor, insurance	Anna Wright	"068 Joseph Keys Apt. 471
Louishaven, CO 53226"	334-72-1575
41	09/12/1997, 00:00:00	Asian	"359 Jacob Flat Apt. 188
Hendersonmouth, RI 37161"	F	O-	Chief Technology Officer	Denise Deleon	"9487 Rachael Keys Suite 332
Floresberg, CT 09810"	003-74-2341
42	12/19/1940, 00:00:00	Black	"04569 Samuel Green Apt. 233
Lake Morgan, AK 82071"	F	A+	Training and development officer	Tara Lopez	"46754 Ramirez Turnpike Suite 107
Christinachester, NH 59204"	718-80-5879
43	1946-03-19	White	"915 Susan Shore Suite 260
Ryanville, AL 28636"	M	B-	Insurance underwriter	Kevin Wiley	"2305 Gibbs Stream
Phillipstown, NE 36359"	545-06-2197
44	11/04/2013, 00:00:00	Black	"15841 Cruz Centers Apt. 018
Claytonborough, AL 65778"	M	AB+	Surveyor, building control	Jerry Hernandez	"266 Bell Port Apt. 866
Davisland, KY 89830"	683-01-1193
45	1962/08/29	White	"0392 Bush Track Apt. 294
Cynthiaburgh, MT 66670"	F	A-	Statistician	Gina Mccoy	"3030 Woods Drive
Spencerchester, LA 33114"	200-32-5984
46	07/30/1935, 00:00:00	Black	"005 Nicholas Groves Suite 253
East James, OR 69448"	F	A+	Surveyor, commercial/residential	Christina Ward	"94960 Laura Common Suite 051
New Jackson, MT 88091"	357-12-2831
47	04 Nov 1994	White	"656 Dawson Green Apt. 483
Port John, NH 59886"	M	AB+	Conservation officer, nature	Scott Harper	"35328 Christopher Grove Apt. 955
South Mark, FL 58055"	603-03-6159
48	1951-05-08	White	"019 Peterson Stravenue Suite 903
South Latoya, DC 75264"	M	B+	Television/film/video producer	Michael Moss	"51471 Melissa Haven
South Daniel, NC 69885"	218-53-5533
49	07/17/1969, 00:00:00	White	"33354 Krista Trafficway
South Tammymouth, NE 46194"	M	O-	Scientist, research (physical sciences)	Eric Alexander	"13589 Nguyen Streets
Matthewtown, NM 12815"	766-46-6336
50	1974/09/16	White	"616 Roth Prairie Apt. 072
Landrymouth, UT 14200"	M	A+	Colour technologist	Kyle Howell	"USCGC Medina
FPO AE 99221"	841-45-8797
51	1905-12-25	Black	"826 Stanley Club Apt. 902
Mullinsport, TN 18826"	M	O+	Dance movement psychotherapist	Bryce Travis	"680 Dillon Center
West Kaylaview, SD 65219"	504-63-2906
52	22 Oct 1967	blsck	"947 Pugh Shore
Hensonport, WY 70000"	F	A+	Scientist, research (life sciences)	Rachel Mcpherson	"0562 Danielle Passage
Michaelfurt, MO 21293"	790-32-6549
53	10/06/1912, 00:00:00	White	"6464 Hoover Radial Suite 531
West Bryanland, SC 59197"	F	AB-	Engineer, aeronautical	Amber Cross	"USS Brown
FPO AE 72406"	140-21-5631
54	1975/04/04	White	"502 Jones Divide Suite 857
East Olivia, DC 98406"	F	AB+	Engineer, manufacturing systems	Lisa Flores	"53239 Robinson Forks
West Allisonburgh, VT 13543"	342-44-8666
55	1910/04/21	White	"86527 Lee Views Apt. 267
New Sarah, ME 28069"	M	AB+	Chief Executive Officer	David Hawkins	"687 Church Ports
New Jeffrey, IL 08987"	566-39-0247
56	1922/03/17	White	"3164 Murray Plaza
Williamsside, WV 89102"	M	B-	Building control surveyor	Austin Hayes	"5263 Dennis Estate Suite 583
Lindsayton, WY 34186"	201-14-8680
57	03/23/2016, 00:00:00	White	"283 Eric Ports
New Ritamouth, TX 64299"	F	AB+	Minerals surveyor	Patricia Wright	"65889 Daniel Shores
Lake Cassandra, VA 16678"	618-70-0512
58	2012/03/12	blsck	"310 Singh River Apt. 833
Josephport, SD 49418"	F	B+	Lecturer, further education	Emily Hoover	"PSC 9186, Box 7230
APO AE 35853"	328-38-3028
59	1936/12/02	Hawaiian	"426 Diaz Squares Apt. 069
Riveratown, UT 44143"	M	A+	Retail banker	Phillip Tanner	"451 Daniel Road Apt. 183
Thomasmouth, TX 70855"	321-21-3648
60	1998/01/02	White	"937 Charles Crest
Sanchezborough, MA 59322"	M	O-	Health and safety adviser	Tracy Allen	"USNV White
FPO AP 78276"	791-70-7459
61	1918/06/07	Asian	"471 Austin Port
Adamtown, AK 89199"	M	O+	International aid/development worker	Richard James	"4348 Michael Plaza
Anthonyshire, MT 76464"	111-64-7132
62	09/17/2013, 00:00:00	Asian	"611 James Hills
Port Kimberlyview, LA 90444"	M	B+	Accounting technician	Nathan Rose PhD	"51842 Michelle Well Apt. 644
Spencechester, KY 82191"	830-82-2988
63	1979/12/06	White	"0868 Chavez Avenue
South Sarah, KY 30254"	F	B-	Scientist, audiological	Margaret Taylor	"159 Espinoza Drive Suite 831
Port Shariberg, NH 20560"	330-64-1431
64	1951/03/06	White	"USNS Smith
FPO AE 07464"	F	AB-	Secretary/administrator	Monica Jordan	"USNV Park
FPO AP 08844"	630-19-4219
65	01/06/1911, 00:00:00	Black	"USNS Estrada
FPO AA 26890"	F	A-	Fine artist	Alexandra King	"29850 Johnson Hill
Floresshire, MN 74544"	405-86-3853
66	30 Dec 1926	White	"321 Brittany Crescent
Hudsonchester, SD 94440"	F	O+	Chartered accountant	Kristin Rodgers	"USNS Nichols
FPO AE 63590"	515-15-3406
67	08/28/2011, 00:00:00	White	"Unit 6278 Box 7585
DPO AP 35787"	F	O+	Sub	Victoria Walker	"086 Paul Ridge
Calvinborough, OK 93656"	060-96-2852
68	1974-04-30	White	"54375 James Forges
South Amy, WV 67850"	F	B+	Scientist, clinical (histocompatibility and immunogenetics)	Allison Green	"0909 Nicholas Centers
Lawrenceberg, AR 46081"	800-42-7876
69	1926/03/01	Black	"915 Ariel Ridge
Reillyport, IL 80543"	F	AB+	Primary school teacher	Chelsea Scott	"7046 Jennifer Radial Suite 924
South Sharontown, KY 59948"	713-36-4667
70	03/14/1907, 00:00:00	Asian	"Unit 2929 Box 8011
DPO AE 56723"	M	B-	Engineer, civil (consulting)	Bradley Nguyen	"0955 Morrison Fords
South Shawn, TX 61698"	506-68-7256
71	1983-03-06	White	"9550 Beard Roads
East Johntown, OK 58860"	M	A+	Civil engineer, consulting	Matthew Griffin	"28807 Thomas Forges Apt. 965
Merrittton, MI 90837"	671-37-2604
72	1925-11-21	Black	"98842 Megan Island Apt. 842
Waynestad, RI 96744"	F	A+	Proofreader	Lynn Harris	"7303 Fischer Squares Suite 276
Toddside, TN 53312"	743-17-4397
73	24 Nov 1924	White	"153 Mitchell Parkway Suite 111
Shannonburgh, KS 11429"	M	O+	Operations geologist	Matthew Bowman	"3753 Freeman Underpass
Lake Todd, HI 33448"	055-37-9211
74	1991/06/21	White	"28061 Fowler Plaza Apt. 994
West Lindaville, NH 56035"	F	O+	Librarian, academic	Melissa Walker	"97972 Singleton Mill
Cohenview, MT 61342"	050-68-6997
75	1909/04/13	Asian	"519 Laura Locks Apt. 519
East Johnathan, IL 12268"	F	A+	Horticultural consultant	Kristi Garcia	"37075 Mitchell Locks
New Dianamouth, WV 50690"	068-46-4255
76	1936/12/16	White	"29228 Clark Alley Suite 123
South Jennifermouth, ID 96028"	M	AB+	Insurance underwriter	Billy Schroeder	"458 Nathan Causeway Apt. 612
Holdertown, NV 84674"	837-29-8652
77	12/22/1924, 00:00:00	Asian	"7330 Gregory Wells Apt. 609
North Lauraberg, WY 19023"	M	B+	Psychotherapist, dance movement	Peter Smith	"3846 Taylor Coves Apt. 984
East Tinastad, TN 39194"	174-27-2744
78	1907-06-23	White	"USNV Russell
FPO AP 38690"	M	O-	Jewellery designer	Brian Williams	"42624 Brandon Corner Apt. 509
Danielhaven, NJ 42693"	344-26-9942
79	06/20/1956, 00:00:00	Hawaiian	"9102 Brown Extensions Apt. 226
Brooksberg, RI 71962"	F	O-	Information systems manager	Karen King	"623 Goodman Port
Darlenefurt, IL 36437"	276-86-9409
80	22 Jul 1910	Asian	"1951 Rebecca Ferry
East Justin, CO 32803"	M	A-	Engineer, technical sales	David Hernandez	"64038 Cody Cliffs Apt. 288
West Charles, LA 89586"	253-07-9404
81	08/31/1926, 00:00:00	Black	"643 Mcintosh Field
Brooksmouth, NC 94965"	M	O+	Passenger transport manager	Matthew Roberson	"148 Gonzalez Pine Apt. 214
Laurenfort, DC 08272"	508-72-1285
82	1925/05/27	Asian	"49105 Laura Skyway Suite 369
Michaelborough, SC 86057"	F	B+	Lexicographer	Taylor Howell	"45025 Howard Prairie Apt. 860
North Natashaview, IL 54282"	038-30-2532
83	1987/08/04	White	"09666 Joseph Passage
East Benjaminmouth, PA 11060"	M	O+	Programme researcher, broadcasting/film/video	Jeremiah Thomas	"7189 Martinez Viaduct Suite 472
Jamesbury, CA 06124"	329-57-7262
84	1950-01-09	Black	"45068 Garcia View Suite 789
Leonardstad, PA 52023"	F	B+	Dealer	Christine Morris	"202 Navarro Lane Apt. 653
South Brendamouth, CA 86884"	719-19-5928
85	28 Dec 1908	White	"9985 Matthew Plaza
North Mary, LA 76355"	F	O-	Primary school teacher	Brenda Wilson	"52293 Nichole Meadow
New Marioberg, VA 12194"	784-40-5052
86	2002-05-23	Black	"20872 Tina Stream Apt. 088
Parsonston, AL 03904"	M	B+	Commercial art gallery manager	Brian Sanchez	"8904 Blevins Park
East Dana, TX 94468"	046-48-0232
87	1999-01-05	White	"2298 Edwards Fork
Smithburgh, MT 92095"	M	A-	Chiropractor	Jesse Bennett	"350 Vaughn Mountains
North Stephanie, GA 96483"	691-57-5770
88	26 Nov 1938	Indian	"5245 Miles Forest Suite 137
West Gregoryberg, KS 07120"	M	AB+	Adult nurse	Kevin Goodwin	"00105 Taylor Hills Suite 816
East Chad, ND 05794"	423-47-1883
89	04 Jun 1991	Asian	"9454 Gloria Overpass
New Scott, MN 71005"	M	B+	Historic buildings inspector/conservation officer	Derrick Dixon	"USNS Clark
FPO AA 99723"	036-45-7433
90	1963-03-19	White	"93069 Heidi Gateway Apt. 634
Maciasbury, NE 45838"	M	B+	Corporate investment banker	Bobby Neal	"23609 Erica Manors Apt. 515
West Tracyville, NE 59849"	131-19-4385
91	03/29/1992, 00:00:00	Indian	"0275 Timothy Passage
Lake Carolineville, NM 07023"	F	A+	Commissioning editor	Cynthia Mullen	"6379 Burns Stravenue
New Cherylbury, OK 99025"	066-77-9751
92	2006/12/15	Asian	"23837 Leblanc Parks Suite 644
West James, OR 92076"	F	B-	Meteorologist	Nancy Jacobs	"609 Heather Loop Suite 913
Harrisonton, MN 66274"	197-03-3733
93	1926-04-09	Black	"7451 Taylor Shoal
Carolineside, MI 84311"	M	O-	Radiation protection practitioner	Devin Turner	"6551 Myers Hill
Jacobburgh, IL 93327"	332-42-1243
94	09/06/1938, 00:00:00	Indian	"PSC 0843, Box 2089
APO AE 76215"	M	AB+	Veterinary surgeon	Matthew Scott	"84102 Brandt Coves
Tylerburgh, TN 78470"	780-64-5498
95	1965/07/07	White	"USCGC Ray
FPO AP 06928"	F	O-	Lecturer, further education	Cynthia Avila	"PSC 4019, Box 6329
APO AA 30076"	358-32-0660
96	07 Jul 1950	Black	"042 Gray Manor
Christinaside, AR 08595"	M	A-	Arts administrator	Lawrence Harris	"USNS Quinn
FPO AP 24244"	738-97-1647
97	1943-10-14	White	"370 Simpson Course
New Robert, WI 74516"	M	B+	Exercise physiologist	William Brown	"USNS Scott
FPO AE 82168"	498-93-8189
98	07/27/1958, 00:00:00	Black	"502 Brooks Greens
New Debbie, OK 83427"	M	A-	Freight forwarder	Jeffrey Flores	"6439 Adam Knolls
Rachelland, MA 62468"	088-97-7204
99	28 Sep 1995	Hawaiian	"554 Chavez Manor
Billstad, IL 22259"	M	AB-	Hydrogeologist	Travis Salazar	"645 Victoria Crossroad
Port Kellyfurt, NC 62043"	213-41-0007
100	1972-02-25	Black	"PSC 2462, Box 2527
APO AP 01545"	M	B+	Chiropodist	Kenneth Rogers	"780 Meyer Ports Apt. 738
New Robertview, SC 19622"	563-79-8128
101	1911-05-27	Asian	"9114 Michael Circles Apt. 109
Riveraberg, GA 03853"	M	B-	Corporate investment banker	Ronald Spencer	"PSC 0908, Box 4181
APO AE 80977"	833-48-5175
102	1971/05/05	White	"31843 Natalie Mount Apt. 141
Lisaside, MD 36263"	F	A-	Statistician	Lorraine Sanchez	"01264 Heath Trail Suite 385
New Karenfurt, KS 14826"	285-13-5900
103	10/28/1980, 00:00:00	White	"PSC 1661, Box 2459
APO AP 86354"	F	O-	Camera operator	Kathryn Gillespie	"03474 Evans Landing
Port Vickie, ME 85063"	291-03-4376
104	1987/07/14	Black	"145 Reed Ranch Apt. 420
New Monica, AL 47988"	M	AB-	Soil scientist	Danny Melton	"0476 Mary Point Suite 135
South Stevenchester, NV 65788"	355-99-9858
105	09/28/1987, 00:00:00	Black	"271 Davis Ranch Suite 914
Ryanshire, PA 80056"	F	B-	Lobbyist	Allison Thompson	"6163 Elliott Radial Suite 052
Mayerville, IN 79034"	637-50-6289
106	1916/11/23	Black	"USCGC Freeman
FPO AA 17789"	F	AB+	Trading standards officer	Tina Rodriguez	"5529 Scott Fort
West Christopher, SC 66204"	285-98-6359
107	2019/06/04	White	"983 Anthony River Apt. 787
East Billy, MA 43910"	M	O-	Ecologist	Scott Fowler	"PSC 4258, Box 0616
APO AE 49482"	090-74-9889
108	11 Dec 1965	White	"7225 Autumn Isle
East Johnnyville, NH 63963"	F	A+	Cartographer	Gail Schmidt	"91861 Dennis Hills
Port Scottfort, NV 47337"	880-51-8438
109	02/16/1954, 00:00:00	white	"4132 Logan Canyon
West Kendra, NM 35731"	M	A+	Actor	Austin Bryant	"861 Frank Street
Lesliestad, VT 47896"	163-49-7630
110	1933-04-22	White	"3780 Todd Terrace
South Ashley, NJ 39335"	M	A+	Drilling engineer	Richard Massey	"48006 Miller Way Suite 700
Loweland, NC 02383"	882-29-2250
111	1973-08-31	blsck	"4284 Kathleen Tunnel Apt. 503
Lake Mario, MT 21106"	F	O-	Dramatherapist	Brittany Stafford	"590 Melinda Valley
Tarafurt, IN 07243"	645-06-1924
112	03/06/1991, 00:00:00	White	"1727 Lewis Club Apt. 296
East Thomas, AZ 52655"	M	O+	Film/video editor	Anthony Mccarthy	"9213 Heidi Road Apt. 391
Amandaland, AK 65510"	017-93-3311
113	12 Jun 1906	Indian	"74656 Hickman Island
Josephchester, CA 80443"	F	B+	Sales executive	Heather Sanchez	"USS Gray
FPO AP 50243"	897-31-6925
114	12/06/2019, 00:00:00	White	"98435 Samantha Brooks Suite 776
Haashaven, KS 46462"	M	AB-	Magazine journalist	Jeffrey Hansen	"USCGC Parker
FPO AE 95303"	835-28-9600
115	13 Dec 1939	White	"469 Aaron Landing Apt. 308
South Meganbury, ID 53342"	F	A-	Contracting civil engineer	Madeline Parrish	"354 Holmes Shores
Port Debbie, CA 65459"	589-01-2825
116	1963-10-19	White	"29647 Donna Square
Port Melissa, MN 31549"	M	A+	Counselling psychologist	Danny Rangel	"94356 Mitchell Summit Suite 688
East Christyfurt, SD 60218"	818-86-7582
117	1985-09-24	White	"616 Amy Spring
Hopkinsfort, DE 35133"	F	A-	Teacher, early years/pre	Lisa Sanders	"83338 Lopez Haven
Ericchester, TN 02734"	855-02-1079
118	11 Dec 1983	White	"642 Guerrero Estates Apt. 555
Nicholasburgh, WY 10607"	F	B-	Phytotherapist	Lisa Smith	"2424 Rebecca Ferry
North Briannahaven, MA 94880"	731-12-2781
119	12 May 2017	black	"698 Robinson Squares
Lake Vincent, UT 73201"	F	B-	Therapist, speech and language	Rachel Harris	"0957 Daisy Ports Suite 089
Lake Christopherfort, CO 29893"	820-23-4241
120	1955/11/26	Black	"82874 Cortez Highway
North Deborah, PA 94617"	F	B-	Engineer, control and instrumentation	Adriana Harris	"222 Michael Trail Apt. 608
South Travis, FL 66393"	386-60-6044
121	23 Apr 1936	White	"2583 Alexandra Center
New Michaelmouth, DC 00588"	M	A+	Restaurant manager	Zachary Morton	"43066 Veronica Groves Apt. 854
Mariohaven, VA 51480"	670-11-0730
122	1927/11/01	black	"101 Amber Lodge Apt. 741
Jessetown, MN 25707"	M	A-	Lecturer, further education	Henry Tucker	"082 Gonzalez Coves
Heidiview, HI 03241"	696-64-3242
123	06/20/1922, 00:00:00	Black	"27244 Joshua Estate Apt. 880
Robertsburgh, ND 45849"	F	A+	Doctor, general practice	Lisa Nelson	"21007 Ashley Mall Suite 948
Marcusport, NC 28550"	100-57-0866
124	17 Apr 1971	White	"63274 Miles Meadows Apt. 018
Benjaminfort, MT 23924"	M	B+	Programmer, applications	Arthur Ortiz	"40577 Emily Roads
Nathanville, OH 48284"	165-58-8753
125	02/27/1970, 00:00:00	Black	"9536 Stephanie Trafficway
Haroldview, IL 94034"	M	B-	IT sales professional	Danny Warner	"10029 Owens Vista
Nicolefort, MD 16100"	792-61-7249
126	1981-04-12	White	"6269 Mackenzie Trafficway Suite 625
South Markmouth, WA 35068"	M	AB+	Information systems manager	Stephen Lowe	"439 Holmes Lodge Apt. 947
Batesburgh, LA 72211"	654-96-8362
127	07 Nov 1958	Asian	"50642 Justin River
New Michael, ID 03170"	M	A-	Pathologist	Joshua Richardson	"6386 Scott Road
Beardside, MO 38996"	614-60-7808
128	1912-10-08	Black	"89781 Thompson Square
West Michaelstad, LA 73616"	M	A+	Rural practice surveyor	Benjamin Campbell	"4973 Kelly Dale Apt. 227
Lake Jonathanland, TX 35778"	866-74-6063
129	1908/05/20	White	"3335 Skinner Isle Suite 890
West Dylan, PA 84438"	F	O-	Museum/gallery exhibitions officer	Lindsay Harrell	"73431 Smith Forges Suite 565
Adrianton, WY 74192"	352-11-6899
130	1961-07-26	Hawaiian	"156 Lewis Crossing Apt. 342
Ritterville, DC 27212"	M	O+	Horticulturist, amenity	Phillip Aguilar	"8249 Kimberly Bridge Suite 329
New Rodney, NV 67217"	811-41-3851
131	1961-08-21	Black	"039 James Track
Hughesstad, CT 54190"	M	B+	Professor Emeritus	Terry Williams	"1170 Oneal Radial Apt. 700
New Nicole, IN 70570"	591-92-1819
132	19 Feb 2000	White	"5878 Sanders Street Suite 723
South Amanda, NE 31958"	F	AB-	Set designer	Diana Hansen	"8226 Richard Extension Apt. 661
Harmonberg, TX 71103"	320-39-1821
133	1985/12/15	Asian	"58255 Cohen Club
Palmerbury, ID 17598"	M	O-	Software engineer	Adam Young	"6506 Donald Stream Apt. 863
Owensmouth, NE 44428"	594-98-1650
134	1944/09/08	Indian	"2320 Richard Haven
Cynthiaview, AZ 76527"	M	A+	Intelligence analyst	Juan Smith	"614 Larson Alley
Farleymouth, MT 92244"	237-72-3150
135	1992-02-04	Black	"584 Heather Pine
Evansmouth, PA 83692"	F	B+	Optometrist	Maria Keller	"85627 Erin Circle
Johnbury, TN 56098"	764-95-5483
136	05/13/2014, 00:00:00	White	"654 Kevin Village
Michaelburgh, KY 27854"	M	B-	Systems developer	Jeffrey Booth	"Unit 2148 Box 9172
DPO AP 19657"	599-30-0863
137	01/12/1917, 00:00:00	White	"7473 Dennis Mount Suite 952
Karenhaven, ID 07623"	F	AB-	Chief Technology Officer	Lori Zavala	"08108 Allen Pike
Nicolestad, NH 69159"	065-09-2018
138	30 Oct 1968	White	"277 Hill Cliffs Suite 154
West Matthewton, RI 22606"	M	AB-	Proofreader	Carlos Foster	"31996 Jason Lakes
West Adrianaburgh, NE 69543"	708-74-4114
139	2008-02-23	White	"435 Shannon Forks
Williamsfurt, KS 82276"	M	O-	Chiropodist	Christopher Johnson	"0171 Hart Flat
North Danielle, KS 03252"	315-08-1958
140	01/08/1913, 00:00:00	White	"0624 Rogers Canyon Suite 369
North Jacobstad, FL 95972"	F	A-	Multimedia specialist	Christina Lynch	"9680 Hill Squares Suite 926
East Walter, SD 64338"	253-48-6955
141	1952-10-17	Black	"9678 Melinda Locks Suite 570
Walkerberg, MT 35305"	F	AB+	Research scientist (physical sciences)	Krystal Miller	"76364 Russell Square Apt. 021
Port Kimberly, NC 88722"	634-10-5320
