	name	ssn	relationship	leukocyty	trombocyty	erytrocyty	er-cv	smoker	hemoglobin	indicator	hbver	hematokrit	etytr	alt	weight	ast	alp
61	Christopher Bowman	134-51-6403	separated	5.81569	5.85623	5.01395	27.70829	no	4.58231	1.00000	5.62472	7.53718	3.89164	9.78540	96.66059	40.25052	42.60913
62	John Jackson	019-73-4960	single	5.48849	6.00030	5.31154	53.90485	no	6.26463	1.00000	3.69350	6.63327	5.70883	8.40500	68.58387	35.71983	92.02728
63	Jeffery Smith	492-04-6234	married	6.14242	4.90924	5.93560	48.11676	no	6.89680	1.00000	4.64384	7.56721	4.93882	9.58621	24.25171	65.08796	85.35348
64	Jesus Wright	813-62-6977	married	4.79684	7.67748	6.59477	60.75980	no	4.16724	1.00000	7.00496	6.68588	5.20276	11.92550	101.62834	36.59094	28.51191
65	Abigail Rodriguez	445-30-2132	single	5.78798	6.80373	3.92756	55.00513	Y	5.91443	1.00000	5.70287	8.00384	3.81640	6.59636	73.19796	44.95980	88.05090
66	Travis Salazar	213-41-0007	separated	6.19656	6.29850	6.28739	14.56417	no	4.64798	1.00000	4.77955	5.91628	5.87656	9.99042	46.97803	50.62163	58.25394
67	Margaret Taylor	330-64-1431	divoced	6.98708	5.26392	4.97728	62.01781	yes	6.21625	0.00000	7.09474	5.68013	4.09254	9.26493	70.84830	64.41828	94.00082
68	Peter Dyer	017-88-6570	separated	6.83504	4.59557	7.73794	44.07084	no	6.13056	0.00000	6.68576	6.29513	4.82243	17.98530	92.07136	33.18349	89.45424
69	Brandon Hardy	408-38-6223	married	5.58556	6.77389	6.56110	55.54742	no	6.01555	0.00000	6.84353	5.01155	5.16564	9.13155	61.66925	53.13721	87.20190
70	Stephanie Taylor	422-49-3098	married	4.84620	8.15367	5.19695	42.26348	yes	4.76001	1.00000	3.51167	8.57413	3.43601	8.29013	84.24281	42.93033	47.22214
71	Jason Wallace	647-74-0371	divoced	6.40598	4.12696	4.19394	36.00053	no	5.81302	1.00000	4.52661	6.51192	5.04575	3.91969	63.65268	40.75197	80.22457
72	Craig Cisneros	242-03-5338	single	5.08382	4.54690	5.81567	45.45007	no	6.33484	1.00000	4.47087	7.14702	5.06830	10.15381	19.99186	56.11906	88.44021
73	Jeremiah Martin PhD	478-83-7115	nop	6.54039	5.54233	6.03565	30.41048	no	4.08278	1.00000	4.77612	7.93302	4.81428	5.16198	94.90328	45.09979	22.37656
74	Rachel Ross	343-38-7487	single	6.29816	4.79238	5.20755	31.63553	no	4.09971	0.00000	7.04111	7.21403	6.71383	6.85531	115.46638	61.23859	32.51167
75	Connie Russo	897-90-0303	divoced	5.58996	5.81922	6.46491	43.13173	yes	6.16899	1.00000	2.97418	6.19515	4.89083	5.75178	53.45474	69.65408	83.55638
76	Mike Hicks	504-54-0904	divoced	6.98965	7.25544	7.02768	61.90930	Y	5.48710	1.00000	3.82888	6.84871	4.38378	10.72477	50.36986	37.29105	73.29715
77	Jeffrey Sherman	079-74-2727	nop	5.89335	6.58365	6.06611	34.46976	no	6.28116	1.00000	0.89592	6.15496	5.75580	10.58793	113.26930	59.17392	96.37062
78	Keith Salazar	612-94-1664	divoced	4.64197	3.64808	6.32512	55.50183	yes	6.33754	1.00000	5.07805	5.39441	2.70484	12.68034	25.36241	27.00863	85.68254
79	Kevin Harmon	140-99-7606	married	5.13749	2.97383	5.44042	33.14807	no	5.60957	0.00000	2.94272	7.21553	5.56416	7.58875	99.17829	39.37071	
80	Jason Kaiser	573-93-5938	single	6.86556	4.95866	7.18713	53.57123	yes	5.54010	1.00000	4.22639	8.27879	5.76098	11.09040	5.52049	55.59594	77.60813
81	Lawrence Barron	341-27-6374	married	5.67959	6.79955	5.55094	43.74941	no	5.65453	1.00000	4.57670	6.11125	5.99299	7.52278	59.84808	40.75754	72.13337
82	Thomas Howard	723-79-0935	divoced	5.97752	3.98192	5.45469	45.51320	no	4.91267	0.00000	6.64781	6.85925	5.45871	9.69550	97.40810	73.97344	57.19956
83	Carol Rivera MD	194-26-1160	single	5.22878	6.73392	5.52999	47.41495	no	6.77299	0.00000	6.80776	4.54040	2.61537	7.33453	74.82988	64.34985	78.69383
84	Michael Chavez	651-84-0187	divoced	5.28965	5.20322	3.86160	71.91165	no	6.73515	0.00000	8.29595	4.90463	5.24176	9.34614	77.18380	62.11882	85.94940
85	Laurie Waters	850-03-2036	separated	6.60206	7.00306	6.98279	63.32820	no	6.43420	1.00000	4.68863	7.72075	4.01457	11.79399	57.52251	45.58794	85.69057
86	Brittany Love	510-87-6831	separated	6.90047	7.50575	5.56247	47.02590	Y	5.85586	0.00000	6.74592	4.49944	5.12971	6.58674	56.06525	52.10640	90.45496
87	Anthony Bowman	331-85-1409	married	6.33276	6.21793	6.00136	65.90878	no	5.94816	1.00000	4.02684	5.57259	6.79335		74.33182	31.81041	83.29472
88	Amanda Kennedy	369-31-1092	nop	4.98984	6.66578	5.62753	46.07992	no	6.83434	0.00000	7.62533	4.42638	4.99969	9.87957	43.52712	72.33395	82.11831
89	Brittany Wu	032-19-8452	separated	4.42297	4.98861	6.55786	37.87387	N	5.88653	0.00000	8.54189	6.52533	5.81551	12.38545	90.78544	41.35836	85.99171
90	Eric Oconnor	540-23-3226	single	5.82335	3.52585	4.45024	34.55777	yes	5.14234	1.00000	1.74428	7.94638	6.54202	5.97951	20.78464	47.92820	64.93229
91	Kenneth Gutierrez	795-26-7970	nop	6.22604	3.51526	5.28884	50.56241	no	4.39860	1.00000	4.52710	6.49021	4.98196	7.15404	76.21997	51.60862	36.36569
92	Elizabeth Shea	512-44-8545	divoced	6.23466	6.58760	5.62096	41.28335	no	4.98073	1.00000	2.67946	6.82231	4.79373	9.18636	39.44971	41.12745	65.49737
93	Christopher Nelson	733-17-2043	divoced	4.71051	7.47669	5.46999	51.85098	no	5.40127	1.00000	4.59769	8.07937	3.56619	8.68292	66.65096	52.97209	71.54343
94	Victoria Huerta	827-61-6072	nop	4.21336	9.03046	6.68289	43.56433	Y	9.18794	0.00000	6.88152	4.60206	7.22686	11.63500	129.93490	44.45408	8.84134
95	John Peterson	283-58-2060	divoced	6.42557	5.12453	5.45990	55.61694	yes	7.10928	1.00000	4.47817	7.82090	5.04589	6.10980	52.37702	38.27981	82.79997
96	Karen Salazar	574-52-7637	married	7.12222	4.12136	5.15462	46.44804	no	6.42076	0.00000	5.22017	7.67089	5.62363	9.98890	68.24844	53.65443	93.98347
97	Maria Davidson	524-76-4831	single	6.16533	7.24387	5.52063	27.93997	no	5.96910	1.00000	5.60598	6.52331	5.89098	10.84081	99.40483	30.49682	84.96313
98	Adam Ramirez	069-29-5937	married	5.42197	7.13403	5.75262	58.65585	yes	8.62049	0.00000	7.28791	7.06468	3.73638	8.61891	12.21159	48.49300	28.90144
99	Kevin Cross	376-07-2805	divoced	5.42840	7.01912	5.06516	34.30942	no	5.73147	0.00000	6.77275	5.18730	3.88374	9.62927	60.46627	41.94530	82.30670
100	Stephanie Taylor	422-49-3098	married	6.23181	5.14227	5.73519	57.61193	yes	5.24038	0.00000	7.33131	7.29800	7.11225	7.22206	111.82084	53.91567	74.94297
101	Melvin Sanchez	808-45-8752	divoced	7.02597	4.36166	7.28251	40.11890	yes	5.04495	0.00000	6.42722	7.75617	4.32938	12.44547	-1.37616	67.39639	61.18768
102	Patricia Nixon	776-73-7846	separated	5.61081	6.28019	4.04772	36.18005	no	5.46974	1.00000	3.28958	6.90651	4.70137	11.85513	10.48230	39.22330	66.42084
103	Michele Clark	014-74-4128	divoced	4.66339	4.35357	6.14104	15.33665	no	6.42162	1.00000	2.70213	8.87665	7.01791	7.31794	8.55893	60.34907	82.58498
104	Katherine Roberts	758-17-9546	single	6.28757	5.64121	6.66616	35.91016	N	5.03234	0.00000	7.04922	5.02807	3.25535	6.32150	73.31737	40.90166	69.82365
105	David Castaneda	197-73-3411	nop	5.30142	4.02732	6.16560	50.43867	N	5.09583	1.00000	3.96943	6.83800	4.84609	10.63235	76.34497	64.67582	58.59015
106	Summer Raymond	843-43-9526	married	6.84693	3.96590	7.12420	39.40964	no	5.58353	1.00000	4.62814	6.24411	4.16369	10.66793	39.91033	60.95822	82.74510
107	Julie Anderson MD	614-89-0093	widowed	6.06767	8.64347	5.67751	62.80336	no	4.65657	1.00000	3.21542	8.35291	3.01203	6.44405	128.62982	57.85748	49.39385
108	Emma Beard	609-43-9441	divoced	6.75990	5.86754	7.06551	54.43535	no	4.76129	1.00000	3.52993	5.01998	6.88446	16.68560	10.97682	52.74461	49.61497
109	Daryl Christensen	546-56-1249	single	5.25842	7.12851	4.71339	58.22614	yes	4.37952	0.00000	6.24065	5.27325	3.40832	7.92720	132.88586	28.50346	35.52656
110	Mark Walker	479-05-5529	single	6.06594	5.55187	6.76538	29.93342	no	7.11330	1.00000	4.50275	8.46079	5.23487	9.03531	76.45909	47.81333	69.10265
111	Veronica Barber	844-13-1540	nop	4.17921	6.45511	4.62769	46.58873	no	7.08061	1.00000	5.20513	7.18515	4.81280	7.27333	11.08175	29.23904	72.91527
112	Jasmine Pope	542-95-9876	nop	7.47535	4.99816	5.00150	55.56342	no	6.25667	1.00000	3.98569	7.72533	4.74208	4.25250	93.93993	44.76683	86.36919
113	Rodney Daniels	029-72-5897	divoced	6.14933	3.78338	5.70395	26.90387	yes	6.99803	1.00000	4.40645	6.38519	4.65718	6.10746	87.59868	42.48565	88.14458
114	Cory Mejia	495-51-7331	nop	4.72375	3.99476	5.03692	39.34197	no	6.18618	1.00000	5.66213	5.66057	5.43581	4.59021	133.83478	39.33590	85.88654
115	Eric Cox	739-64-4067	married	5.62732	4.79404	5.82340	29.49990	no	5.06029	1.00000	3.51312	8.09725	6.30703	11.96351	49.08982	43.38863	63.35622
116	James Jones	818-03-8490	divoced	3.64515	7.36201	5.48023	51.26102	no	5.83858	1.00000	5.17147	6.15649	5.15817	6.84198	95.67305	37.84128	84.82992
117	Scott Valdez	756-40-5212	single	6.84266	5.40069	6.40291	64.94183	Y	6.67374	0.00000	10.00925	5.97983	1.91081	10.27416	71.66367	47.52807	82.30684
118	Nancy Johnson	311-03-4414	widowed	5.52421	5.50423	5.16595	57.26107	yes	5.10574	0.00000	9.41400	5.06817	2.77889	9.11702	105.19040	33.51172	62.88349
119	Lisa Gregory	352-11-8644	single	5.79806	4.28647	7.26725	28.94409	Y	5.79370	0.00000	6.38536	8.23304	4.86008	13.25966	62.60580	53.86680	80.64655
120	Mary Salinas	384-93-8811	divoced	5.74554	5.48382	6.94708	41.66253	no	7.16048	1.00000	6.11317	5.96467	6.02914	9.24142	33.20649	41.43651	72.83101
121	Phyllis Serrano	766-38-2366	married	6.87784	5.96102	4.54517	21.01810	no	5.82176	1.00000	2.97252	6.38788	5.93904	8.15691	92.65682	59.40303	80.79464
122	Tammy Bennett	694-55-4270	widowed	5.97831	7.35712	5.51770	62.91530	yes	7.17367	0.00000	7.25837	4.60006	6.19571	10.25606	77.82590	47.46930	64.91773
123	Jennifer Anderson	627-05-2069	married	6.15152	7.26314	5.88918	64.19482	no	6.70008	1.00000	6.50347	6.93723	5.37702	11.98984	45.08535	40.88567	88.11893
124	Meghan Garcia	871-58-0968	divoced	7.05250	5.40943	5.03073	52.45056	no	6.65300	0.00000	7.80934	4.73384	5.07278	9.43738	60.13194	57.15961	83.60804
125	Timothy Johnston	027-40-0964	married	5.16298	4.57241	6.18223	35.97388	no	5.58742	0.00000	5.71713	7.88050	4.66969	3.11967	122.05006	36.77408	73.18996
126	Thomas Rosales	445-81-7525	separated	6.05834	6.54394	5.50171	59.60953	Y	8.41407	1.00000	5.82232	6.33838	6.18744	7.05528	92.99890	52.96464	29.76175
127	Allen Hall	202-70-3221	nop	7.78744	4.15864	7.49455	51.20267	no	6.58282	0.00000	7.08112	8.04539	6.65927	17.26657	-28.13392	56.46161	77.81312
128	Adriana Butler	656-81-6025	nop	5.33249	5.10380	7.09423	49.38526	N	4.83636	1.00000	4.02453	8.40477		9.74565	90.21416	29.32608	48.92129
129	Destiny Salinas	114-26-0783	separated	7.34731	7.64912	4.74858	37.88138	yes	5.55282	1.00000	4.85342	8.84596	2.88386	8.65753	132.70480	57.64407	80.93632
130	Ashley Jones	158-99-7662	married	5.77536	5.95512	6.93755	51.74381	no	6.36241	1.00000	4.37497	9.05307	5.68075	10.63165	91.59826	34.42307	90.13317
131	Jesus Wright	813-62-6977	married	5.80549	6.97826	6.97150	59.01769	no	5.22665	0.00000	7.77070	3.98921	5.07198	10.75893	83.99912	35.00111	65.72000
132	Mr. Kevin Foley	882-90-4714	widowed	5.60591	8.17477	6.47857	29.69943	yes	6.05748	1.00000	5.63811	6.86110	5.03466	10.73546	80.53670	48.93680	82.11018
133	Marc Jackson	377-09-0278	separated	6.47923	9.37474	6.54691	53.92645	no	4.67946	0.00000	6.45413	4.86792	8.37553	9.44590	125.07174	70.79834	50.56333
134	Allison Green	800-42-7876	married	6.56989	7.35758	5.28830	40.49973	no	6.76507	0.00000	7.22000	4.49176	5.54103	7.76892	7.58321	53.69687	72.75540
135	Cheryl Clayton	595-90-3742	married	3.80190	7.14222		51.55884	Y	6.82051	1.00000	6.25148	8.11748	4.72487	4.59263	57.09729	36.33504	81.65410
136	Laurie Ibarra	363-48-8598	single	6.96105	2.56758	4.53194	40.37541	no	4.45776	1.00000	4.65226	4.30658	2.76065	10.83546	52.26487	43.72987	37.75777
137	Zachary Diaz	626-94-2903	divoced	6.59010	4.44001	6.34748	60.43556	yes	5.79718	0.00000	6.31126	8.52080	5.37172	9.82528	100.35356	31.77927	86.45518
138	Marie Tucker	224-84-6233	single	4.90105	4.58689	4.64160	48.09582	no	3.77790	0.00000	6.77142	7.30087	7.57626	8.01700	143.41161	34.13694	16.66876
139	William Castaneda	829-29-8093	separated	6.20951	4.53323	5.85315	57.16146	no	6.36639	1.00000	3.59529	8.43480	5.93506	10.77518	99.28543	51.57349	87.95948
140	Scott Graham	315-68-8521	divoced	4.11501	6.94121	4.02782	28.07687	Y	6.00381	0.00000	6.39791	4.88053	4.38241	7.85037	109.64388	34.98261	82.06571
141	Diana Brandt	001-64-5310	nop	4.88156	8.07751	5.82126	61.57838	yes	3.63110	1.00000	7.03705	7.78732	4.32265	7.23757	80.58096	44.16865	16.41532
142	Terry Cooper	516-49-7731	divoced	4.41987	3.62817	7.81825	60.22756	no	6.15178	1.00000	2.80591	7.35725	6.08269	16.25040	102.59476	57.67296	88.06901
143	Tiffany Edwards	797-68-2412	separated	6.86166	6.34029	5.44962	52.08158	yes	6.05536	1.00000	2.64703	6.32490	5.53973	11.42276	113.35398	49.80020	86.91279
144	Travis Caldwell	748-45-0382	married	5.28792	5.83125	5.53389	51.47012	no	6.90374	0.00000	7.61943	4.77398	2.87338	10.34460	138.38058	59.45570	78.32878
145	Adam Snow	486-62-3289	married	5.61514	4.42193	6.51142	19.93018	no	6.16671	1.00000	4.80429	6.68652	4.56644	7.32806	69.32369	51.90021	85.68688
146	Kirsten Davis	548-45-4663	widowed	5.30528	5.73814	5.29826	50.56420	no	5.66333	0.00000	8.20062	6.62458	4.59802	9.71727	64.77421	47.16759	73.93790
147	Jacqueline Terrell	618-64-5117	married	4.77952	8.14411	5.23649	56.21909	no	5.35128	0.00000	7.95989	3.45714	6.24099	4.72463	82.96689	56.96976	74.51955
148	Julia Khan	839-03-2572	divoced	5.40416	7.48722	4.50297	16.29559	no	7.03602	0.00000	5.18927	5.14256	4.28178	8.53450	121.94422	20.15122	74.31700
149	Jennifer Wilson	470-17-2015	nop	4.72889	5.92026	4.71844	39.34055	no	7.64729	1.00000	3.74287	6.33484	5.67845	11.87220	19.97232	55.12878	55.19646
150	Evelyn Tanner	556-32-5969	married	5.80128	8.46944	5.00939	41.49528	Y	7.44510	1.00000	6.72193	7.01073	4.41987	7.32383	130.17923	13.78139	58.47934
151	Anthony Hernandez	806-34-4662	separated	5.70657	2.96938	5.72302	40.89387	no	4.75930	1.00000	5.14348	5.01367	3.45620	10.40506	14.85467	27.41044	48.44412
152	Darin Burton	533-67-5964	divoced	6.14405	7.04348	6.02483	52.39346	no	6.81783	0.00000	5.55554	4.51229	3.74940	10.38874	115.53464	49.02079	80.98996
153	Diana Parker	169-98-1938	widowed	6.74143	7.80264	6.01074	35.11846	yes	4.31219	1.00000	5.38143	8.07680	4.10463	11.77287	31.95329	48.74640	25.09362
154	Kristin Clark	763-31-6531	divoced	5.50990	5.41044	5.99376	40.88155	no	5.79386	1.00000	4.20603	8.68618	6.11028	8.05151	142.86114	31.72911	82.47699
155	Andrea Smith	877-01-5665	separated	3.75680	7.12266	5.68590	53.36383	yes	5.20940	1.00000	4.63443	6.89707	4.39525	11.59528	75.55050	47.30762	67.76122
156	Paula Brown	333-01-7447	nop	6.54849	4.48378	5.18589	58.89561	N	5.31130	0.00000	5.41978	9.06448	4.33420	8.63368	85.75948	54.28771	77.44446
157	David Houston	607-46-0314	widowed	5.73056	5.28033	6.33571	58.80888	Y	6.57657	1.00000	6.17685	6.65797	4.09876	8.43582	100.19268	57.29378	96.96954
